10	2
10	4
10	4
10	5
10	2
10	3
10	3
10	6
10	2
10	4
10	4
10	3
10	3
10	3
10	2
10	3
10	2
10	10
10	4
10	3
10	2
10	2
10	3
10	2
10	1
100	28
100	23
100	34
100	22
100	23
100	25
100	27
100	38
100	37
100	108
100	37
100	38
100	40
100	47
100	23
100	21
100	26
100	26
100	22
100	27
100	28
100	26
100	44
100	38
100	30
1000	233
1000	436
1000	241
1000	338
1000	376
1000	173
1000	323
1000	231
1000	325
1000	172
1000	169
1000	389
1000	197
1000	166
1000	282
1000	172
1000	169
1000	351
1000	435
1000	203
1000	418
1000	536
1000	524
1000	440
1000	460
